Fiora,1,"1,304",,"3/17/23, 12:38 AM",,496
Ornn,1,"1,245",,"3/13/23, 5:35 PM",,555
Jhin,1,"1,217",,"1/6/18, 3:39 PM",,583
Alistar,1,"1,196",,"1/6/18, 3:17 AM",,604
Rengar,1,929,,"2/12/23, 1:10 PM",,871
Renata Glasc,1,826,,"11/29/22, 8:36 PM",,974
Xerath,1,624,,"5/18/18, 7:31 PM",,"1,176"
Dr. Mundo,1,612,,"4/30/23, 11:26 PM",,"1,188"
Bel'Veth,1,437,,"3/2/23, 7:40 PM",,"1,363"
Sett,1,339,,"12/19/22, 3:31 PM",,"1,461"
Vex,1,300,,"2/18/23, 1:07 PM",,"1,500"
Sylas,1,249,,"3/13/23, 11:09 PM",,"1,551"
Kayle,1,223,,"11/21/17, 3:40 AM",,"1,577"
Samira,1,181,,"2/11/23, 1:30 PM",,"1,619"
Thresh,1,177,,"3/25/23, 2:44 PM",,"1,623"
Nilah,1,144,,"1/29/23, 10:52 PM",,"1,656"
